  2.96  596  1 01
  3.14  473  1 02
  3.22  482  1 03
  3.29  527  1 04
  3.69  505  1 05
  3.46  693  1 06
  3.03  626  1 07
  3.19  663  1 08
  3.63  447  1 09
  3.59  588  1 10
  3.30  563  1 11
  3.40  553  1 12
  3.50  572  1 13
  3.78  591  1 14
  3.44  692  1 15
  3.48  528  1 16
  3.47  552  1 17
  3.35  520  1 18
  3.39  543  1 19
  3.28  523  1 20
  3.21  530  1 21
  3.58  564  1 22
  3.33  565  1 23
  3.40  431  1 24
  3.38  605  1 25
  3.26  664  1 26
  3.60  609  1 27
  3.37  559  1 28
  3.80  521  1 29
  3.76  646  1 30
  3.24  467  1 31
  2.54  446  2 32
  2.43  425  2 33
  2.20  474  2 34
  2.36  531  2 35
  2.57  542  2 36
  2.35  406  2 37
  2.51  412  2 38
  2.51  458  2 39
  2.36  399  2 40
  2.36  482  2 41
  2.66  420  2 42
  2.68  414  2 43
  2.48  533  2 44
  2.46  509  2 45
  2.63  504  2 46
  2.44  336  2 47
  2.13  408  2 48
  2.41  469  2 49
  2.55  538  2 50
  2.31  505  2 51
  2.41  489  2 52
  2.19  411  2 53
  2.35  321  2 54
  2.60  394  2 55
  2.55  528  2 56
  2.72  399  2 57
  2.85  381  2 58
  2.90  384  2 59
  2.86  494  3 60
  2.85  496  3 61
  3.14  419  3 62
  3.28  371  3 63
  2.89  447  3 64
  3.15  313  3 65
  3.50  402  3 66
  2.89  485  3 67
  2.80  444  3 68
  3.13  416  3 69
  3.01  471  3 70
  2.79  490  3 71
  2.89  431  3 72
  2.91  446  3 73
  2.75  546  3 74
  2.73  467  3 75
  3.12  463  3 76
  3.08  440  3 77
  3.03  419  3 78
  3.00  509  3 79
  3.03  438  3 80
  3.05  399  3 81
  2.85  483  3 82
  3.01  453  3 83
  3.03  414  3 84
  3.04  446  3 85
